"","Name","Code","rating","rating2","DSP","DInd","EPS","PER","BPS","PBR","ROE","ROA","CFO","CFPS","PCFR","EBIT","EBITDA","EV","EVperEBIT","ICR","FOCF","SP01","SP02","SP03","SP04","SP06","SP07","SP08","SP09","SP10"
"424","光通信","9435","BBB","","SP","General",0.00176521228670244,107239.226367287,0.00921661223517036,20539.0001412489,20.8848019031933,6.53780421436551,58121,0.00124858103097764,151612.10630581,115983,132446,8.81185e+11,7597535.8457705,13.9342038324572,58121,0.0702103011187309,6.25019253129577,0.0702103011187309,0.0702103011187309,10.8560284890622,22.4598948617941,0.392427077376985,0.448129438713192,0.310275503502481
"425","光通信","9435","A","","J1","General",0.00176521228670244,107239.226367287,0.00921661223517036,20539.0001412489,20.8848019031933,6.53780421436551,58121,0.00124858103097764,151612.10630581,115983,132446,8.81185e+11,7597535.8457705,13.9342038324572,58121,0.0702103011187309,6.25019253129577,0.0702103011187309,0.0702103011187309,10.8560284890622,22.4598948617941,0.392427077376985,0.448129438713192,0.310275503502481
"426","東京電力ホールディングス","9501","BB","+","SP","General",5.36769266957423e-05,54399.5377483416,0.000886040447370994,3295.56061313459,6.09199116884779,1.57438650211628,239825,6.76131420000021e-05,43186.8703868237,239407,651446,1.03573e+12,4326231.0625838,4.46083737494435,239825,0.0267950295597247,13.73921092462,0.0267950295597247,0.0267950295597247,6.61901080105902,15.2631381645229,1.6688066359961,4.54095915237697,0.0790162924256649
"427","東京電力ホールディングス","9501","A","","J1","General",5.36769266957423e-05,54399.5377483416,0.000886040447370994,3295.56061313459,6.09199116884779,1.57438650211628,239825,6.76131420000021e-05,43186.8703868237,239407,651446,1.03573e+12,4326231.0625838,4.46083737494435,239825,0.0267950295597247,13.73921092462,0.0267950295597247,0.0267950295597247,6.61901080105902,15.2631381645229,1.6688066359961,4.54095915237697,0.0790162924256649
"428","中部電力","9502","AA","","J1","General",0.000253704485488127,51910.7889427377,0.00277530870712401,4745.41803807036,9.4678623017518,3.38192456740249,384148,0.000506791556728232,25987.0154211398,247550,430213,9.98286e+11,4032664.10826096,9.93583053474554,384148,0.107224151420326,8.32764932719374,0.107224151420326,0.107224151420326,20.8474812709894,22.227486437613,1.69910909165786,2.95285324035307,0.121773380501354
"429","関西電力","9503","AA","","J1","General",0.000165431486235083,62624.1124696064,0.0018381765086889,5636.0202358311,9.21896222562047,1.92299048200447,369215,0.000393312037594569,26340.4091656081,207774,498360,9.72527e+11,4680696.33351622,6.91372095093936,369215,0.0581422907037372,12.7421883778794,0.0581422907037372,0.0581422907037372,17.4373163565132,22.1868043807319,1.42558972458935,3.41937343048866,0.123406480720076
"430","中国電力","9504","BBB","+","SP","General",4.81151342988244e-05,206172.135744041,0.00170563863397528,5816.00334467082,2.83447074308234,0.550282718528971,110228,0.000284713067612777,34842.0958798128,33227,116645,3.84057e+11,11558581.876185,17.4910798122066,110228,0.0404532698087178,23.359963993313,0.0404532698087178,0.0404532698087178,104.500469483568,109.525821596244,0.969197561473617,3.40241519120264,0.0508429708563751
"431","中国電力","9504","AA","","J1","General",4.81151342988244e-05,206172.135744041,0.00170563863397528,5816.00334467082,2.83447074308234,0.550282718528971,110228,0.000284713067612777,34842.0958798128,42807,126225,3.84057e+11,8971827.03763403,1.74992954438704,110228,0.0404532698087178,21.5870310952664,0.0404532698087178,0.0404532698087178,11.3549084077031,11.8576796618131,1.24863635037774,3.68185398010676,0.0655020029930132
"432","北陸電力","9505","AA","","NonSP","General",5.95767599650487e-05,96010.5921059772,0.00169131247226609,3381.98889548547,3.70055370985604,0.7853344079377,56639,0.00026928163017001,21241.7014721305,25879,80303,1.20311e+11,4648981.79991499,1.81188548293811,56639,0.045680812590835,15.4400956377719,0.045680812590835,0.045680812590835,9.18956043956044,11.6111914401388,1.45159299977563,4.50431904868746,0.0747736190327595
"433","東北電力","9506","AA","","NonSP","General",0.000108365255877771,76685.0955381228,0.00179273259184348,4635.38178410354,6.59372969519654,1.2188327610258,217617,0.000432739185032625,19203.252877073,87155,316266,4.17895e+11,4794848.25884918,3.52649970879441,217617,0.0609648787367136,11.2865341200129,0.0609648787367136,0.0609648787367136,15.0825082508251,20.4663172199573,0.333151126876854,1.20893091954374,0.0987194393646525
"434","四国電力","9507","AA","","NonSP","General",2.32555844040951e-05,310463.064464148,0.00147007298999155,4911.32076376798,1.59298448160453,0.362689664043668,52293,0.000234407146346057,30801.1087227736,19453,78511,1.61068e+11,8279854.00709402,0.914185022026432,52293,0.0474325831995428,14.0422361197794,0.0474325831995428,0.0474325831995428,10.2146255506608,13.8345374449339,3.01316604708798,12.1609355638166,0.0594346785293637
"435","四国電力","9507","A","-","SP","General",2.32555844040951e-05,310463.064464148,0.00147007298999155,4911.32076376798,1.59298448160453,0.362689664043668,52293,0.000234407146346057,30801.1087227736,19453,78511,1.61068e+11,8279854.00709402,0.914185022026432,52293,0.0474325831995428,14.0422361197794,0.0474325831995428,0.0474325831995428,10.2146255506608,13.8345374449339,3.01316604708798,12.1609355638166,0.0594346785293637
