feet	Rank	RankPrev	Player	Roundsp	percentMade	Attempts	Putts_made
06	T52	T76	Patrick Cantlay	43	76.19	21	16
06	T52	T39	Troy Merritt	69	76.19	42	32
06	T52	29	Joaquin Niemann	58	76.19	42	32
06	T55	T53	Branden Grace	50	76.09	46	35
06	T55	T53	John Huh	53	76.09	46	35
06	T55	49	Xander Schauffele	51	76.09	46	35
06	T58	T58	Hayden Buckley	61	75.86	58	44
06	T58	57	Davis Riley	74	75.86	58	44
06	T60	89	Cameron Champ	40	75.61	41	31
06	T60	T76	Ryan Palmer	55	75.61	41	31
06	62	62	Trey Mullinax	56	75.51	49	37
06	T63	T63	Tyrrell Hatton	46	75.00	32	24
06	T63	T63	Jim Herman	43	75.00	24	18
06	T63	T63	Henrik Norlander	56	75.00	40	30
06	T63	T63	Rory Sabbatini	39	75.00	48	36
06	T63	T55	Sepp Straka	79	75.00	52	39
06	T63	T63	Vince Whaley	65	75.00	52	39
06	69	T55	Seamus Power	69	74.51	51	38
06	70	71	Zach Johnson	48	74.47	47	35
06	71	61	Adam Scott	48	74.42	43	32
06	T72	72	Kiradech Aphibarnrat	43	74.29	35	26
06	T72	T78	Jordan Spieth	53	74.29	35	26
06	74	73	Scott Piercy	62	74.14	58	43
06	75	74	Brett Drewitt	42	74.07	27	20
06	76	75	Seung-Yul Noh	47	73.91	23	17
06	77	86	Cameron Tringale	73	73.61	72	53
06	78	27	Patrick Reed	65	73.58	53	39
06	79	T90	Erik van Rooyen	47	73.47	49	36
06	80	95	Adam Long	71	73.44	64	47
06	T81	T90	Wyndham Clark	67	73.33	45	33
06	T81	T58	Mackenzie Hughes	57	73.33	30	22
06	T81	T83	Nate Lashley	64	73.33	45	33
06	T81	T81	Austin Smotherman	57	73.33	45	33
06	85	T63	Matthew NeSmith	76	73.21	56	41
06	86	104	Brian Harman	64	73.13	67	49
06	T87	T87	Doc Redman	65	73.08	52	38
06	T87	T87	Peter Uihlein	46	73.08	26	19
06	89	T78	Peter Malnati	79	72.86	70	51
06	T90	T83	Matt Jones	61	72.73	44	32
06	T90	T90	Chase Seiffert	37	72.73	22	16
06	T90	105	Sahith Theegala	81	72.73	55	40
06	T93	T96	Talor Gooch	72	72.41	58	42
06	T93	103	Tom Hoge	79	72.41	58	42
06	T93	T96	Kevin Kisner	56	72.41	29	21
06	96	99	Stephan Jaeger	65	72.31	65	47
06	T97	T100	Brian Gay	39	72.22	36	26
06	T97	T114	Camilo Villegas	58	72.22	36	26
06	99	102	Kevin Na	42	72.09	43	31
06	T100	T122	Viktor Hovland	57	72.00	50	36
06	T100	T128	Chris Kirk	66	72.00	50	36
06	T100	T112	Collin Morikawa	48	72.00	25	18
06	103	106	Harry Higgs	64	71.67	60	43
06	T104	T63	Danny Lee	46	71.43	35	25
06	T104	T114	Mito Pereira	74	71.43	91	65
06	T104	107	Michael Thompson	64	71.43	63	45
06	T104	T90	Jhonattan Vegas	61	71.43	49	35
06	T108	98	Cam Davis	58	71.15	52	37
06	T108	T108	Maverick McNealy	69	71.15	52	37
06	110	110	Brice Garnett	63	71.11	45	32
06	111	111	Bronson Burgoon	37	71.05	38	27
06	112	T112	Hideki Matsuyama	53	70.83	48	34
06	113	T114	C.T. Pan	65	70.69	58	41
06	114	T114	Martin Trainer	62	70.59	51	36
06	115	118	Jimmy Walker	41	70.37	27	19
06	T116	119	Michael Gligic	53	70.27	37	26
06	T116	T78	Justin Lower	52	70.27	37	26
06	118	T81	Kurt Kitayama	54	69.70	33	23
06	T119	T108	Pat Perez	62	69.64	56	39
06	T119	168	Aaron Rai	73	69.64	56	39
06	T119	T120	Nick Taylor	66	69.64	56	39
06	T122	T122	Dustin Johnson	37	69.57	23	16
06	T122	T83	Alex Noren	58	69.57	46	32
06	124	T122	Charley Hoffman	51	69.39	49	34
06	T125	125	Andrew Putnam	66	69.23	52	36
06	T125	T126	Roger Sloan	54	69.23	39	27
06	T125	136	Cameron Young	61	69.23	65	45
06	128	T138	Patton Kizzire	68	69.12	68	47
06	T129	T128	Paul Barjon	51	68.89	45	31
06	T129	147	Keegan Bradley	65	68.89	45	31
06	131	131	Kevin Chappell	43	68.75	32	22
06	132	132	Russell Henley	61	68.52	54	37
06	T133	T133	Sam Burns	54	68.42	38	26
06	T133	T133	Andrew Novak	54	68.42	38	26
06	T133	T133	Brian Stuard	75	68.42	57	39
06	T133	T120	Nick Watney	60	68.42	57	39
06	T133	T142	Will Zalatoris	61	68.42	38	26
06	138	T100	Brandon Wu	56	68.29	41	28
06	139	141	Wesley Bryan	37	67.86	28	19
06	140	T150	Anirban Lahiri	58	67.80	59	40
06	141	T142	Seth Reeves	49	67.74	31	21
06	142	169	Jason Dufner	38	67.65	34	23
06	143	T144	Taylor Pendrith	51	67.57	37	25
06	T144	165	Stewart Cink	51	67.31	52	35
06	T144	140	Doug Ghim	66	67.31	52	35
06	146	T126	Sam Ryder	66	67.27	55	37
06	147	137	Russell Knox	77	67.19	64	43
06	T148	T150	Daniel Berger	39	66.67	27	18
06	T148	T150	Matt Fitzpatrick	45	66.67	27	18
06	T148	T150	Rickie Fowler	53	66.67	57	38
06	T148	T150	Dylan Frittelli	67	66.67	36	24
06	T148	158	Charles Howell III	46	66.67	39	26
06	T148	T144	Martin Laird	48	66.67	42	28
06	T148	T150	Hank Lebioda	60	66.67	60	40
06	T148	T150	Scottie Scheffler	67	66.67	33	22
06	T148	T138	Brendan Steele	61	66.67	48	32
06	T148	148	Robert Streb	59	66.67	54	36
06	T148	T144	Hudson Swafford	64	66.67	42	28
06	159	T171	Aaron Wise	60	66.07	56	37
06	160	T162	Alex Smalley	69	66.04	53	35
06	161	T128	Gary Woodland	53	65.96	47	31
06	162	159	Graeme McDowell	44	65.71	35	23
06	T163	160	Mark Hubbard	48	65.63	32	21
06	T163	149	Kevin Streelman	68	65.63	64	42
06	165	161	Tony Finau	55	65.52	29	19
06	166	T162	Jared Wolfe	45	65.38	26	17
06	167	T150	Joel Dahmen	71	65.00	60	39
06	168	166	Chez Reavie	65	64.91	57	37
06	169	167	Richy Werenski	50	64.86	37	24
06	170	T171	Greyson Sigg	68	64.15	53	34
06	171	186	Rory McIlroy	34	64.00	25	16
06	T172	T174	Joshua Creel	35	63.64	22	14
06	T172	T174	Kyle Stanley	47	63.64	33	21
06	T174	T176	Lee Hodges	65	63.04	46	29
06	T174	T176	Max McGreevy	54	63.04	46	29
06	T174	170	Taylor Moore	60	63.04	46	29
06	177	173	Keith Mitchell	65	62.96	54	34
06	178	178	Louis Oosthuizen	33	62.50	40	25
06	179	T180	Charl Schwartzel	45	62.00	50	31
06	180	182	Scott Gutschewski	42	61.90	21	13
06	T181	183	Ian Poulter	45	61.76	34	21
06	T181	190	Jon Rahm	50	61.76	34	21
06	183	184	Sergio Garcia	37	61.29	31	19
06	184	179	Brandon Hagy	61	61.22	49	30
06	185	185	Joseph Bramlett	63	61.02	59	36
06	186	T180	Lucas Glover	71	60.78	51	31
06	187	188	David Skinns	48	60.00	30	18
06	T188	187	Sungjae Im	67	59.57	47	28
06	T188	191	Chad Ramey	65	59.57	47	28
06	190	189	Scott Stallings	70	58.62	58	34
06	T191	T192	Tyler Duncan	61	57.58	33	19
06	T191	T192	Dylan Wu	53	57.58	33	19
06	193	194	Curtis Thompson	53	57.14	28	16
06	194	196	Sebastián Muñoz	62	56.52	46	26
06	195	195	Emiliano Grillo	62	56.14	57	32
06	T196	201	Garrick Higgo	48	54.55	33	18
06	T196	T197	Jim Knous	35	54.55	22	12
06	198	200	Luke List	65	54.35	46	25
06	199	199	Matt Wallace	38	54.17	24	13
06	200	T197	Danny Willett	44	53.85	26	14
06	201	202	Callum Tarren	45	47.37	19	9
06	202	203	Ryan Armour	40	43.48	23	10
05	1	1	Cameron Tringale	73	95.45	66	63
05	2	4	Cameron Smith	44	93.75	48	45
05	3	3	Mito Pereira	74	92.41	79	73
05	4	6	Kelly Kraft	47	92.00	50	46
05	5	7	Mackenzie Hughes	57	91.94	62	57
05	6	10	Denny McCarthy	80	91.76	85	78
05	7	5	Brian Harman	64	91.30	69	63
05	8	2	Matt Fitzpatrick	45	90.91	33	30
05	9	12	Scott Stallings	70	90.00	80	72
05	10	9	Seamus Power	69	89.83	59	53
05	11	13	Zach Johnson	48	89.58	48	43
05	T12	17	Wyndham Clark	67	89.55	67	60
05	T12	11	Nate Lashley	64	89.55	67	60
05	14	15	Maverick McNealy	69	89.04	73	65
05	15	16	Richy Werenski	50	88.71	62	55
05	T16	25	Brandon Hagy	61	88.68	53	47
05	T16	23	Adam Scott	48	88.68	53	47
05	18	21	Danny Lee	46	88.64	44	39
05	19	26	Aaron Wise	60	88.57	70	62
05	20	T27	Beau Hossler	56	88.41	69	61
05	T21	T18	Kevin Chappell	43	88.24	34	30
05	T21	T18	Peter Malnati	79	88.24	85	75
05	T21	22	Chad Ramey	65	88.24	68	60
05	24	31	Emiliano Grillo	62	88.14	59	52
05	25	30	Rory McIlroy	34	88.10	42	37
05	26	24	Russell Henley	61	87.93	58	51
05	27	T27	John Huh	53	87.50	48	42
05	28	T49	Lucas Herbert	45	87.23	47	41
05	29	T44	Jhonattan Vegas	61	87.04	54	47
05	30	T18	William McGirt	32	86.84	38	33
05	31	29	Alex Smalley	69	86.81	91	79
05	T32	40	Marc Leishman	61	86.67	75	65
05	T32	T32	Michael Thompson	64	86.67	75	65
05	T32	T32	Peter Uihlein	46	86.67	30	26
05	T35	34	Harry Higgs	64	86.57	67	58
05	T35	T41	Troy Merritt	69	86.57	67	58
05	37	35	Hideki Matsuyama	53	86.54	52	45
05	T38	T36	Justin Rose	43	86.49	37	32
05	T38	T36	Vaughn Taylor	39	86.49	37	32
05	40	46	Taylor Moore	60	86.44	59	51
05	41	39	Austin Smotherman	57	86.36	66	57
05	42	T41	Sebastián Muñoz	62	86.15	65	56
05	43	43	Graeme McDowell	44	86.11	36	31
05	44	69	Lanto Griffin	72	86.05	86	74
05	T45	T44	Jason Kokrak	55	86.00	50	43
05	T45	T65	Carlos Ortiz	55	86.00	50	43
05	47	47	Brendon Todd	65	85.92	71	61
05	48	48	Bill Haas	78	85.88	85	73
05	T49	T49	Kevin Na	42	85.71	49	42
05	T49	T49	Andrew Novak	54	85.71	35	30
