Rank,Feet,Player,% Made,Attempts,Putts_made
140,3,Alex Smalley,0.9926,679,674
140,3,Will Zalatoris,0.9926,679,674
145,3,Nick Dunlap,0.9923,648,643
145,3,Sam Ryder,0.9923,646,641
147,3,Wesley Bryan,0.9921,379,376
147,3,Rico Hoey,0.9921,756,750
149,3,David Skinns,0.992,751,745
150,3,Byeong Hun An,0.9919,741,735
150,3,Beau Hossler,0.9919,869,862
150,3,J.T. Poston,0.9919,868,861
153,3,Emiliano Grillo,0.9917,842,835
154,3,Michael Kim,0.9915,703,697
154,3,Patton Kizzire,0.9915,591,586
154,3,Jhonattan Vegas,0.9915,702,696
157,3,Hayden Springer,0.9913,577,572
158,3,Keegan Bradley,0.9912,791,784
158,3,Charley Hoffman,0.9912,682,676
158,3,Matthieu Pavon,0.9912,571,566
158,3,Matti Schmid,0.9912,680,674
162,3,Dylan Wu,0.9911,784,777
163,3,Vincent Norrman,0.991,558,553
163,3,Austin Smotherman,0.991,445,441
165,3,Ryan Fox,0.9908,763,756
165,3,Justin Suh,0.9908,653,647
167,3,Sungjae Im,0.9907,856,848
167,3,Davis Riley,0.9907,749,742
169,3,Robby Shelton,0.9906,744,737
170,3,Kevin Kisner,0.9905,527,522
170,3,Ryan McCormick,0.9905,524,519
172,3,Ben Kohles,0.9902,819,811
173,3,Carl Yuan,0.9901,606,600
174,3,Alejandro Tosti,0.99,700,693
175,3,Corey Conners,0.9896,865,856
176,3,Ryan Moore,0.9895,763,755
177,3,Webb Simpson,0.989,546,540
178,3,Lanto Griffin,0.9888,626,619
179,3,Kevin Yu,0.9883,769,760
180,3,Tom Whitney,0.9878,575,568
181,3,Joseph Bramlett,0.9861,793,782
182,3,Kevin Streelman,0.986,642,633
183,3,Camilo Villegas,0.9842,507,499
184,3,Hideki Matsuyama,0.983,706,694
