Rank,Player,Position,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,Check,HR_all,AB_all,AVG_all,OBP_all,OPS_all,Rank_all
116,KameronMisner,CF,TB,14,33,6,13,3,0,2,5,5,9,2,0,0.394,0.474,0.667,1.141,42,5,197,0.213,0.273,0.618,305
264,FreddyFermin,C,KC,14,39,3,12,4,1,1,12,1,6,0,0,0.308,0.326,0.538,0.864,80,5,319,0.251,0.297,0.636,305
264,NickFortes,C,MIA,13,32,8,8,1,0,1,3,4,5,0,0,0.25,0.333,0.375,0.708,50,5,218,0.229,0.296,0.645,305
264,Ke'BryanHayes,3B,PIT,12,30,3,7,0,0,1,3,4,4,2,0,0.233,0.324,0.333,0.657,124,5,527,0.235,0.29,0.596,305
264,AlexJackson,C,NYY,14,28,2,6,2,0,1,5,1,12,0,0,0.214,0.241,0.393,0.634,20,5,91,0.22,0.29,0.763,305
264,YohelPozo,C,STL,4,7,1,1,0,0,1,2,0,1,0,0,0.143,0.143,0.571,0.714,37,5,160,0.231,0.262,0.637,305
264,BrayanRocchio,SS,CLE,18,47,6,15,4,0,1,4,3,10,2,1,0.319,0.36,0.468,0.828,80,5,344,0.233,0.29,0.63,305
264,AustinSlater,RF,CWS,8,19,5,2,0,0,1,2,4,8,1,1,0.105,0.28,0.263,0.543,32,5,148,0.216,0.27,0.642,305
264,SalStewart,X,CIN,13,24,2,7,2,0,1,2,4,5,2,0,0.292,0.393,0.5,0.893,14,5,55,0.255,0.293,0.838,305
264,LuisTorrens,C,NYM,18,46,7,11,0,1,1,7,3,10,0,0,0.239,0.286,0.348,0.634,59,5,261,0.226,0.284,0.629,305
264,LuisTorrens,C,NYM,18,46,7,11,0,1,1,7,3,10,0,0,0.239,0.286,0.348,0.634,59,5,261,0.226,0.284,0.629,305
586,AlexCall,RF,WSH,19,39,6,13,4,0,0,7,12,5,1,0,0.333,0.481,0.436,0.917,72,5,270,0.267,0.361,0.746,305
586,EvanCarter,CF,TEX,15,39,2,6,2,0,0,1,3,15,1,0,0.154,0.214,0.205,0.419,48,5,194,0.247,0.336,0.728,305
586,BlaineCrim,1B,TEX,17,18,1,5,1,0,0,3,3,4,0,0,0.278,0.381,0.333,0.714,13,5,65,0.2,0.27,0.732,305
586,NickGonzales,2B,PIT,16,44,2,11,4,0,0,9,3,10,2,1,0.25,0.313,0.341,0.654,99,5,381,0.26,0.299,0.661,305
586,MichaelHelman,2B,STL,16,18,2,2,1,0,0,4,1,6,0,0,0.111,0.24,0.167,0.407,23,5,99,0.232,0.29,0.745,305
586,NolanJones,RF,CLE,19,51,5,12,3,0,0,7,3,14,1,0,0.235,0.278,0.294,0.572,75,5,355,0.211,0.296,0.6,305
586,JakobMarsee,DH,MIA,1,5,1,1,0,0,0,1,0,2,1,0,0.2,0.2,0.2,0.4,61,5,209,0.292,0.363,0.841,305
586,ChaseMeidroth,SS,CWS,17,41,3,6,1,0,0,2,9,10,1,1,0.146,0.3,0.171,0.471,114,5,450,0.253,0.329,0.649,305
586,OswaldPeraza,3B,NYY,21,50,5,8,1,0,0,2,7,14,1,2,0.16,0.263,0.18,0.443,40,5,244,0.164,0.223,0.473,305
586,EdgarQuero,C,CWS,9,16,2,4,0,0,0,0,1,2,0,0,0.25,0.294,0.25,0.544,98,5,365,0.268,0.333,0.689,305
586,CarsonWilliams,SS,TB,12,32,1,9,2,1,0,1,3,9,2,1,0.281,0.343,0.406,0.749,17,5,99,0.172,0.219,0.573,305
16,LaneThomas,CF,CLE,17,45,11,11,1,0,4,16,7,11,2,1,0.244,0.37,0.533,0.903,20,4,125,0.16,0.246,0.518,336
48,JoeyBart,C,PIT,15,40,6,14,2,0,3,10,7,10,0,0,0.35,0.429,0.625,1.054,71,4,285,0.249,0.355,0.695,336
116,MiguelAmaya,C,CHC,9,26,3,13,2,0,2,4,0,5,0,0,0.5,0.519,0.808,1.327,27,4,96,0.281,0.314,0.814,336
116,SamuelBasallo,X,BAL,16,31,5,7,0,1,2,8,2,11,0,0,0.226,0.286,0.484,0.77,18,4,109,0.165,0.229,0.559,336
116,TylerFitzgerald,2B,SF,16,46,8,13,2,2,2,5,4,23,1,0,0.283,0.34,0.543,0.883,47,4,217,0.217,0.278,0.605,336
264,DylanBeavers,RF,BAL,11,19,3,6,1,0,1,3,2,4,0,0,0.316,0.381,0.526,0.907,25,4,110,0.227,0.375,0.775,336
264,TimElko,1B,CWS,12,12,2,1,0,0,1,1,4,5,0,0,0.083,0.353,0.333,0.686,9,4,67,0.134,0.194,0.522,336
264,LukeKeaschall,X,MIN,12,21,4,5,1,0,1,4,4,1,1,0,0.238,0.385,0.429,0.814,55,4,182,0.302,0.382,0.827,336
264,HestonKjerstad,RF,BAL,18,43,6,9,2,0,1,6,8,13,1,0,0.209,0.346,0.326,0.672,30,4,156,0.192,0.24,0.567,336
264,MarceloMayer,SS,BOS,20,36,6,12,0,2,1,11,8,11,0,0,0.333,0.455,0.528,0.983,29,4,127,0.228,0.272,0.674,336
264,AndruwMonasterio,2B,MIL,17,34,10,13,2,2,1,5,6,6,4,2,0.382,0.488,0.647,1.135,34,4,126,0.27,0.319,0.756,336
264,GrahamPauley,3B,MIA,11,28,7,8,1,0,1,5,2,8,2,0,0.286,0.355,0.429,0.784,36,4,161,0.224,0.311,0.677,336
264,LioverPeguero,SS,PIT,10,15,2,2,0,0,1,1,1,4,0,0,0.133,0.188,0.333,0.521,16,4,80,0.2,0.273,0.636,336
264,MylesStraw,CF,TOR,19,30,6,12,2,0,1,6,5,5,1,1,0.4,0.472,0.567,1.039,70,4,267,0.262,0.313,0.68,336
264,TaylorWalls,SS,TB,15,35,7,10,3,1,1,9,6,7,2,0,0.286,0.39,0.514,0.904,62,4,282,0.22,0.28,0.599,336
264,TaylorWalls,SS,TB,15,35,7,10,3,1,1,9,6,7,2,0,0.286,0.39,0.514,0.904,62,4,282,0.22,0.28,0.599,336
264,MasatakaYoshida,DH,BOS,11,35,5,10,1,0,1,7,0,8,0,0,0.286,0.286,0.4,0.686,50,4,188,0.266,0.307,0.695,336
586,WarmingBernabel,1B,COL,5,5,0,1,0,0,0,0,1,1,0,0,0.2,0.333,0.2,0.533,35,4,139,0.252,0.288,0.698,336
586,CarlosCortes,RF,ATH,11,19,1,2,1,0,0,0,1,5,0,0,0.105,0.15,0.158,0.308,29,4,94,0.309,0.323,0.866,336
586,AdrianDel Castillo,C,AZ,9,24,0,3,1,0,0,0,0,12,0,0,0.125,0.125,0.167,0.292,29,4,120,0.242,0.29,0.682,336
586,RyanFitzgerald,SS,MIN,15,12,2,2,0,0,0,0,2,4,1,0,0.167,0.375,0.167,0.542,9,4,46,0.196,0.302,0.759,336
586,BradyHouse,3B,WSH,19,22,5,8,1,0,0,1,4,4,1,0,0.364,0.462,0.409,0.871,61,4,261,0.234,0.252,0.574,336
586,KyleIsbel,CF,KC,16,42,8,9,1,1,0,5,4,10,5,0,0.214,0.292,0.286,0.578,94,4,368,0.255,0.301,0.654,336
586,TroyJohnston,RF,MIA,9,12,3,3,1,0,0,0,5,3,1,0,0.25,0.471,0.333,0.804,31,4,112,0.277,0.331,0.751,336
586,NickLoftin,3B,KC,16,34,4,13,5,0,0,5,10,9,0,0,0.382,0.523,0.529,1.052,35,4,168,0.208,0.278,0.635,336
586,JoeyLoperfido,CF,TOR,14,29,4,6,4,1,0,2,4,9,0,1,0.207,0.303,0.414,0.717,32,4,96,0.333,0.379,0.879,336
586,MatthewLugo,LF,LAA,25,58,9,17,4,3,0,5,2,18,2,0,0.293,0.328,0.466,0.794,16,4,69,0.232,0.243,0.707,336
586,BriceMatthews,2B,HOU,10,16,3,3,1,1,0,2,2,8,0,0,0.188,0.278,0.375,0.653,7,4,42,0.167,0.222,0.674,336
586,JakeMcCarthy,CF,AZ,19,55,8,14,5,1,0,3,3,16,4,0,0.255,0.293,0.382,0.675,42,4,206,0.204,0.247,0.592,336
586,ParkerMeadows,CF,DET,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4,191,0.215,0.291,0.621,336
586,LukeRaley,1B,SEA,14,43,7,13,5,0,0,3,5,11,2,1,0.302,0.375,0.419,0.794,37,4,183,0.202,0.319,0.63,336
586,JohnRave,CF,KC,16,31,6,9,0,1,0,4,3,10,4,0,0.29,0.371,0.355,0.726,30,4,153,0.196,0.283,0.59,336
586,DaltonRushing,X,LAD,13,10,2,2,1,0,0,2,9,4,0,0,0.2,0.619,0.3,0.919,29,4,142,0.204,0.258,0.582,336
586,JoseTrevino,C,CIN,14,36,2,5,2,0,0,4,2,7,0,0,0.139,0.205,0.194,0.399,67,4,282,0.238,0.272,0.623,336
586,ColeYoung,DH,SEA,13,21,2,4,1,0,0,1,1,6,0,0,0.19,0.227,0.238,0.465,47,4,223,0.211,0.302,0.607,336
586,JaredYoung,1B,NYM,10,19,1,4,0,0,0,2,3,5,0,0,0.211,0.348,0.211,0.559,8,4,43,0.186,0.234,0.722,336
16,LeodyTaveras,CF,TEX,20,51,9,10,1,0,4,7,5,10,4,1,0.196,0.268,0.451,0.719,35,3,171,0.205,0.226,0.53,377
48,JakeMeyers,CF,HOU,15,36,4,11,2,0,3,7,1,9,1,0,0.306,0.324,0.611,0.935,100,3,343,0.292,0.354,0.727,377
116,TristonCasas,1B,BOS,16,41,4,8,1,0,2,5,9,16,0,0,0.195,0.34,0.366,0.706,18,3,99,0.182,0.277,0.58,377
116,TristanGray,SS,CWS,14,27,3,8,4,0,2,7,1,10,0,0,0.296,0.31,0.667,0.977,18,3,78,0.231,0.282,0.692,377
116,DerekHill,CF,MIA,17,51,5,11,2,0,2,4,8,19,1,1,0.216,0.317,0.373,0.69,29,3,134,0.216,0.281,0.609,377
116,EdouardJulien,2B,MIN,19,57,10,16,4,0,2,10,6,13,0,0,0.281,0.349,0.456,0.805,40,3,182,0.22,0.309,0.633,377
116,JakeMangum,LF,TB,15,28,5,12,3,0,2,9,2,3,1,2,0.429,0.467,0.75,1.217,120,3,405,0.296,0.33,0.698,377
116,IldemaroVargas,2B,AZ,19,48,10,18,6,0,2,10,3,4,1,0,0.375,0.434,0.625,1.059,31,3,115,0.27,0.292,0.675,377
116,JoeyWiemer,CF,KC,22,38,12,10,2,0,2,9,6,15,3,1,0.263,0.364,0.474,0.838,13,3,55,0.236,0.279,0.715,377
264,MaximoAcosta,SS,MIA,6,11,1,3,0,0,1,1,3,3,0,1,0.273,0.429,0.545,0.974,11,3,54,0.204,0.295,0.684,377
264,RobertHassell,CF,WSH,21,46,7,17,5,0,1,5,3,8,2,1,0.37,0.408,0.543,0.951,44,3,197,0.223,0.257,0.572,377
264,CarterJensen,X,KC,12,20,2,2,1,0,1,2,4,5,1,0,0.1,0.25,0.3,0.55,18,3,60,0.3,0.391,0.941,377
264,HyeseongKim,SS,LAD,15,29,6,6,0,0,1,3,4,11,2,0,0.207,0.303,0.31,0.613,45,3,161,0.28,0.314,0.699,377
264,ChristianKoss,SS,SF,28,41,12,14,4,0,1,5,5,7,1,2,0.341,0.426,0.512,0.938,46,3,174,0.264,0.309,0.677,377
264,WillieMacIver,C,ATH,14,15,1,2,1,0,1,4,5,7,0,0,0.133,0.318,0.4,0.718,19,3,102,0.186,0.252,0.576,377
