Rank,Feet,Player,%Made,Attempts,Putts_made,LastSeason
60,27.5,Rickie Fowler,6.21%,145,9,18
61,27.5,Max Homa,6.20%,129,8,35
62,27.5,Hank Lebioda,6.19%,113,7,3
63,27.5,Chandler Blanchet,6.09%,115,7,-
64,27.5,Nick Taylor,6.08%,148,9,12
65,27.5,Seamus Power,5.98%,117,7,6
66,27.5,Brian Harman,5.93%,135,8,21
67,27.5,Jeffrey Kang,5.80%,69,4,11
68,27.5,Harris English,5.77%,156,9,17
69,27.5,Michael Thorbjornsen,5.70%,158,9,3
70,27.5,Robert MacIntyre,5.69%,123,7,9
70,27.5,William Mouw,5.69%,123,7,9
72,27.5,Adrien Dumont de Chassart,5.66%,106,6,9
72,27.5,Ben Griffin,5.66%,159,9,18
72,27.5,Billy Horschel,5.66%,159,9,9
75,27.5,Rasmus Neergaard-Petersen,5.62%,89,5,8
76,27.5,Michael Brennan,5.61%,107,6,8
77,27.5,Zach Bauchou,5.59%,143,8,9
77,27.5,Min Woo Lee,5.59%,143,8,18
79,27.5,Rasmus Højgaard,5.56%,126,7,8
79,27.5,Stephan Jaeger,5.56%,126,7,8
79,27.5,Jesper Svensson,5.56%,54,3,8
82,27.5,Tom Hoge,5.47%,128,7,14
83,27.5,Taylor Pendrith,5.45%,165,9,44
84,27.5,Ludvig Åberg,5.38%,93,5,8
85,27.5,Sam Stevens,5.37%,149,8,15
86,27.5,Zecheng Dou,5.30%,132,7,8
86,27.5,Adam Schenk,5.30%,132,7,8
88,27.5,Denny McCarthy,5.29%,170,9,20
89,27.5,Rico Hoey,5.26%,171,9,7
90,27.5,Joel Dahmen,5.22%,115,6,9
91,27.5,Shane Lowry,5.19%,135,7,30
92,27.5,Lucas Glover,5.13%,78,4,59
92,27.5,Hideki Matsuyama,5.13%,156,8,25
94,27.5,Rafael Campos,5.06%,79,4,9
94,27.5,Chris Gotterup,5.06%,158,8,8
96,27.5,Mac Meissner,5.04%,119,6,8
97,27.5,Matt McCarty,5.03%,159,8,10
97,27.5,Sudarshan Yellamaraju,5.03%,159,8,24
99,27.5,Doug Ghim,5.00%,80,4,6
99,27.5,Chris Kirk,5.00%,100,5,6
101,27.5,Adam Scott,4.96%,121,6,24
102,27.5,Mackenzie Hughes,4.92%,122,6,6
102,27.5,Haotong Li,4.92%,122,6,6
102,27.5,Jhonattan Vegas,4.92%,122,6,48
105,27.5,Kurt Kitayama,4.90%,143,7,7
106,27.5,Pierceson Coody,4.88%,164,8,19
106,27.5,Jackson Suber,4.88%,82,4,4
108,27.5,Aaron Rai,4.85%,103,5,3
109,27.5,Brian Campbell,4.84%,124,6,41
110,27.5,Alex Smalley,4.79%,167,8,18
111,27.5,Kensei Hirata,4.76%,105,5,1
111,27.5,Collin Morikawa,4.76%,105,5,38
111,27.5,J.T. Poston,4.76%,147,7,26
114,27.5,Nicolai Højgaard,4.70%,149,7,22
115,27.5,Eric Cole,4.67%,107,5,-
116,27.5,Erik van Rooyen,4.65%,86,4,-
117,27.5,Andrew Putnam,4.64%,151,7,26
118,27.5,Pontus Nyholm,4.60%,87,4,1
119,27.5,Matt Fitzpatrick,4.55%,132,6,1
119,27.5,Jimmy Stanger,4.55%,66,3,1
121,27.5,Tom Kim,4.48%,134,6,1
122,27.5,Marco Penge,4.42%,113,5,1
123,27.5,Peter Malnati,4.41%,68,3,1
124,27.5,Gary Woodland,4.29%,140,6,23
125,27.5,Andrew Novak,4.26%,141,6,23
126,27.5,Marcelo Rozo,4.23%,71,3,-
127,27.5,Ryo Hisatsune,4.21%,214,9,11
128,27.5,Bud Cauley,4.17%,144,6,14
129,27.5,Takumi Kanaya,3.97%,126,5,2
129,27.5,S.H. Kim,3.97%,126,5,2
131,27.5,John VanDerLaan,3.96%,101,4,2
132,27.5,Gordon Sargent,3.95%,76,3,2
133,27.5,Corey Conners,3.94%,127,5,8
134,27.5,Jordan Smith,3.91%,179,7,13
135,27.5,Kevin Yu,3.88%,103,4,-
136,27.5,Johnny Keefer,3.87%,155,6,-
137,27.5,Max Greyserman,3.85%,104,4,5
138,27.5,Xander Schauffele,3.79%,132,5,1
139,27.5,Tommy Fleetwood,3.74%,107,4,29
